ASNIERES
GARGES-LES-GONESSE
GAURIAC
GENÇAY
GENERAC
GENNEVILLIERS
GIRONDE-SUR-DROPT
GOND-PONTOUVRE
GONESSE
GOUSSAINVILLE
GRADIGNAN
GRASSE
GRIGNY
GRAND-QUEVILLY
GRENAY
GROSLAY
GUEBWILLER
HAISNES
HALLUIN
HARNES
HAUBOURDIN
HAUTMONT
HAYANGE
HENIN-BEAUMONT
HEROUVILLE-SAINT-CLAIR
HERBLAY-SUR-SEINE
HERIN
HESDIN
HERSIN-COUPIGNY
HESDIN
HIRSON
HONNECHY
HORNAING
HOUPLINES
ILLE-SUR-TET
IMPHY
INCHY-EN-CAMBRESIS
ISBERGUES
ISTRES
JABLINES
JOIGNY
KNUTANGE
LA BASSEE
LABRUGUIERE
LA CALI
LA COURNEUVE
LA COURONNE
LA FERTE-GAUCHER
LAGARRIGUE
LAGNY SUR MARNE
LA MADELEINE
LAMBERSART
LANGON
LAON (DATE D'APPLICATION NON ENCORE CONNUE)
LA FERE
LA FRETTE-SUR-SEINE
LA PALME
LA PORTE DU HAINAUT
LA REOLE
LA ROCHE-CHALAIS
LA ROCHE-SUR-YON
LA SENTINELLE
LA SEYNE SUR MER
LA TOUR-DU-PIN (DATE D'APPLICATION NON ENCORE CONNUE)
LE BOURGET
LE CATEAU-CAMBRESIS
LEFFRINCKOUCKE
LEFOREST
LE HAILLAN
LE LUDE (DATE D'APPLICATION NON ENCORE CONNUE)
LE MUY
LENS
LE PLESSIS-BOUCHARD
LE PLESSIS-PATE
LE POMMEREUIL
LE PORTEL
LES MUREAUX
LE SOLER
LESPARRE-MEDOC
LESPIGNAN
LESQUIN
LES PAVILLONS SOUS BOIS
LE TEIL
LESTIAC-SUR-GARONNE
LEWARDE
LEZENNES
LEZIGNAN-CORBIERES
LIBERCOURT
LIBOURNE
LIEVIN
LIGNY-EN-BARROIS
L’ÎLE-SAINT-DENIS
LILLE
LILLERS
LIMAY
LIVRON-SUR-DROME
L’ISLE-D’ESPAGNAC
L’ISLE SUR LA SORGUE
LOISON-SOUS-LENS
LOOS
LOOS-EN-GOHELLE
LORMONT
LOURCHES
LOUVRES
LUNEL
LUXEUIL-LES-BAINS
MAGALAS
MALAKOFF
MALESHERBES
MANOSQUE
MANTES-LA-JOLIE
MARBACHE
MARCONNE
MARCORIGNAN
MARLES-LES-MINES
MAROMME
MARQUETTE-LEZ-LILLE
MARSEILLE
MARTIGUES
MAUBEUGE-VAL DE SAMBRE
MAUROIS
MASNY
MAZAMET
MAZERES
MAZINGARBE
MAZINGHIEN
MEAUX (A PARTIR DU 01/01/2024)
MELUN
MENNECY
MERICOURT
MERIGNAC
MERU
MEULAN-EN-YVELINES
MILLAS
MITRY-MORY
MOMBRIER
MONDEVILLE
MONS-EN-BAROEUL
MONTAGNAC
MONTAUBAN
MONTARGIS
MONTATAIRE
MONTAY
MONTERAULT-FAULT-YONNE
MONTESQUIEU
MONTEVRAIN
MONTIGNY-EN-GOHELLE
MONTIGNY-EN-OSTREVENT 
MONTIGNY-LES-CORMEILLES
MONTPELLIER
MONTROUGE
MURVIEL-LES-BEZIERS
NANGIS
NANTEUIL-LES-MEAUX
NANTUA
NARBONNE
NEMOURS
NERAC
NILVANGE
NIMES (DANS CERTAINS SECTEURS SEULEMENT)
NIORT
NOEUX-LES-MINES
NOGENT-SUR-OISE
NOISIEL
NOTRE-DAME DE BONDEVILLE
NOYELLES-GODAULT
NOYELLES-SOUS-LENS
OIGNIES
OLONZAC
ORANGE
ORS
OUTREAU
PAMIERS
PANTIN
PAYRIN-AUGMONTEL
PERPIGNAN
PERSAN
PERTUIS
PETIT-COURONNE
PETIT-QUEVILLY
PEZENAS
PEZILLA-LA-RIVIERE
PIERREFITTE-SUR-SEINE
PIERRELAYE
PLASSAC
PONT-A-VENDIN
PONT DE LARN
PONTOISE
PONT-SAINT-ESPRIT
PORT-DE-BOUC
PORTEL-DES-CORBIERES
PORT-MARLY
PRADES
PUISSALICON
PUGNAC
PUTEAUX
QUIEVY
QUILLEBEUF-SUR-SEINE
RAIMBEAUCOURT
RAISMES
REJET-DE-BEAULIEU
REVEL
RIORGES
RIVESALTES
ROANNE
ROEULX
ROISSY
ROISSY EN BRIE
ROMILLY-SUR-SEINE
RONCHIN
ROQUEFORT-DES-CORBIERES
ROSIERES-AUX-SALINES
ROUBAIX
ROUEN
ROUSIES
ROUVROY
RUELLE
SAILLY-LABOURSE (A PARTIR DU 01/01/2024)
SAINS-EN-GOHELLE
SAINT-AMAND-LES-EAUX
SAINT-AMANS-SOULT
SAINT-AUBERT
SAINT-AUBIN-LES-ELBEUF
SAINT-CHINIAN
SAINT-CHRISTOLY-DE-BLAYE
SAINT-CIERS-SUR GIRONDE
SAINT-DENIS
SAINT-ETIENNE-DU-ROUVRAY
SAINTE-CROIX-AUX-MINES
SAINTE-MARIE-AUX-MINES
SAINTE-MARIE-LA-MER
SAINT-FELIU-D’AVALL
SAINTE-FOY-LA-GRANDE
SAINT-GENES-DE-BLAYE
SAINT-GENIES-DE-FONTEDIT
SAINT-GILLES
SAINT-GIRONS-D'AIGUEVIVES
SAINT-GOBAIN
SAINT-HILAIRE-LEZ-CAMBRAI
SAINT-JULIEN-DU-SAULT
SAINT-LAURENT
SAINT LAURENT DE LA SALANQUE
SAINT-LEU-D'ESSERENT
SAINT-LEU-LA-FORET
SAINT LOUIS DE MONTFERRAND
SAINT MACAIRE
SAINT-MARCELLIN
SAINT-MARCEL-SUR-AUDE
SAINT-MARTIN-BOULOGNE
SAINT-MARTIN-LACAUSSADE
SAINT MARTIN DE VALGALGUES
SAINT-MAIXENT-L'ÉCOLE
SAINT-MAX
SAINT-MAIXENT-L'ECOLE
SAINT-MEDARD-EN-JALLES
SAINT-NAZAIRE
SAINT-NICOLAS-DE-PORT
SAINT-OUEN L’AUMONE
SAINT-PAUL
SAINT-POL-SUR-MER
SAINT-PONS-DE-THOMIERES
SAINT-PIERRE-D'AURILLAC
SAINT PRIEST
SAINT-QUENTIN
SAINT-SAUVEUR
SAINT-SOUPLET-ESCAUFOURT
SAINT-THIBAULT-DES-VIGNES
SAINT-THIBERY
SAINT-VAAST-EN-CAMBRESIS
SAINT VALLIER
SALLAUMINES
SANNOIS
SARCELLES
SAUVETERRE DE GUYENNE
SAVERDUN
SCEAUX
SEIGNELAY
SETE
SEVRAN
SIGEAN
SINCENY
SIN-LE-NOBLE
SOMAIN
SOUAL
STAINS
STENAY
TARASCON
TAURIAC
TAUTAVEL
TAVERNY
TERGNIER
THENEZAY
THEZAN-LES-BEZIERS
THIERS
THIERVILLE SUR MEUSE
THORIGNY-SUR-MARNE
THOUARS
TONNERRE
TORCY
TORREILLES
TOUL
TOURCOING
TOUR D'AIGUES
TOURNON-SUR-RHONE
TRAPPES
TRILPORT
TRITH-SAINT-LEGER
TROISVILLES
UCKANGE
VAIRES-SUR-MARNE
VAL-DE-VIRVEE
VALDURENQUE
VALENCIENNES
VAUVERT
VENDIN-LE-VIEIL
VERDUN
VERQUIN
VIAS
VIEUX-CONDE
VILLEDIEU-LES-POELES-ROUFFIGNY
VILLEJUIF
VILLENEUVE DE LA RIVIERE
VILLENEUVE-LA-GARENNE
VILLENEUVE-LOUBET
VILLENEUVE-SUR-LOT
VILLEPARISIS
VILLIERS LE BEL
VILLIERS-SAINT-PAUL
VILLIERS-SUR-MARNE
VILLIERS-SUR-ORGE
VIMY
VINON-SUR-VERDON
VIOLAINES
VOIRON
VOLMERANGE-LES-MINES
WALINCOURT-SELVIGNY
WALLERS-ARENBERG
WATTRELOS
